company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.38
ABB,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,95.0
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,62.72
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.32
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,90.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.96
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,90.0
ABB,con,CON_12,The available financial data does not identify a strong qualifying risk under the primary Day 30 rules; the company is therefore flagged for additional monitoring,75.0
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65.71
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.03
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,72.44
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,64.01
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.65
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68.04
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.9
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.28
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,99.95
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIPORTS,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69.17
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
