company_id,from_year,to_year,previous_pattern,new_pattern
ABB,2022,2023,Reinvestor,Shareholder Returns
ADANIENSOL,2014,2015,Mixed,Growth Funded by Debt
ADANIENSOL,2015,2016,Growth Funded by Debt,Shareholder Returns
ADANIENSOL,2017,2018,Shareholder Returns,Mixed
ADANIENSOL,2020,2021,Mixed,Shareholder Returns
ADANIENSOL,2022,2023,Shareholder Returns,Mixed
ADANIENSOL,2023,2024,Mixed,Shareholder Returns
ADANIENT,2013,2014,Mixed,Shareholder Returns
ADANIENT,2014,2015,Shareholder Returns,Mixed
ADANIENT,2015,2016,Mixed,Shareholder Returns
ADANIENT,2016,2017,Shareholder Returns,Mixed
ADANIENT,2018,2019,Mixed,Liquidating Assets
ADANIENT,2019,2020,Liquidating Assets,Shareholder Returns
ADANIENT,2020,2021,Shareholder Returns,Mixed
ADANIENT,2022,2023,Mixed,Shareholder Returns
ADANIENT,2023,2024,Shareholder Returns,Mixed
ADANIGREEN,2022,2023,Mixed,Reinvestor
ADANIGREEN,2023,2024,Reinvestor,Mixed
ADANIPORTS,2014,2015,Mixed,Reinvestor
ADANIPORTS,2015,2016,Reinvestor,Mixed
ADANIPORTS,2016,2017,Mixed,Reinvestor
ADANIPORTS,2017,2018,Reinvestor,Shareholder Returns
ADANIPORTS,2018,2019,Shareholder Returns,Mixed
ADANIPORTS,2019,2020,Mixed,Shareholder Returns
ADANIPORTS,2020,2021,Shareholder Returns,Mixed
ADANIPORTS,2021,2022,Mixed,Shareholder Returns
ADANIPOWER,2014,2015,Mixed,Reinvestor
ADANIPOWER,2021,2022,Reinvestor,Liquidating Assets
APOLLOHOSP,2013,2014,Mixed,Shareholder Returns
APOLLOHOSP,2014,2015,Shareholder Returns,Mixed
APOLLOHOSP,2017,2018,Mixed,Shareholder Returns
ASIANPAINT,2014,2015,Shareholder Returns,Reinvestor
ASIANPAINT,2015,2016,Reinvestor,Shareholder Returns
ASIANPAINT,2016,2017,Shareholder Returns,Reinvestor
ASIANPAINT,2019,2020,Reinvestor,Shareholder Returns
